subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Real Estate Calculations,"Ed owns 80 acres of land that is 1/2 mile long by 1/4 mile wide. Ed asks Bill to clear 4 strips of land, each 50 feet wide for access to roads. One strip will run the length of the land and 3 strips will run the width of the land. If Bill charges $100 per acre of cleared land, he will receive approximately:",$222.00,$388.00,$740.00,$888.00,c,"Correct answer is (c). 50 x 2640 = 132,000 sq. ft. 50 x 1320 = 66,000 x 3 = 198,000 sq. ft. 132,000 + 198,000 = 330,000 sq. ft. But there are 3 intersections 50 ft. by 50 ft. where the strips crossed that have been counted twice, so we need to subtract them. 50 x 50 x 3 = 7,500 sq. ft. 330,000 - 7,500 = 322,500 sq. ft. 322,500 divided by 43,560 = 7.40 acres (approximately). 7.40 x $100 = $740 received by Bill for clearing the land."
Real Estate Calculations,Ed spends 24% of his gross monthly income on his house payment of $732. What is his gross monthly income?,"$3,200","$3,050","$2,750","$3,000",b,"Correct answer is (b). $732 divided by 24% = $3,050."
Real Estate Calculations,"Frank just sold his house for 6% more than he paid for it. The selling price was $140,450. What was the original purchase price?","$120,000","$124,500","$130,000","$132,500",d,"Correct answer is (d). $140,450 divided by 106% = $132,500."
Real Estate Calculations,"Frank purchased a home for $80,000. He financed the purchase with a 90% conventional fixed-rate loan. The loan fee charged by the lender was 2%. The private mortgage insurance company charged a .50% first-year premium and a .75% renewal premium. What was the loan fee? The first-year premium? The monthly renewal premium?","$1,782.75; $586.10; $17.90","$1,580; $505.60; $18.43","$1,975; $632; $23.04","$1,440; $360; $45",d,"Correct answer is (d). Loan fee = $80,000 x 90% x 2% = $1,440. First year premium = $80,000 x 90% x .5% = $360. Monthly renewal = $80,000 x 90% x .75% divided by 12 = $45."
Real Estate Calculations,"Fred owns an apartment building with 40,000 square feet of floor space and wants to carpet 50% of the area. If the carpet costs $10.00 per square yard, the total cost of carpeting was most nearly:","$22,000.00","$24,000.00","$65,000.00","$79,000.00",a,"Correct answer is (a). 40,000 square feet x 50% = 20,000 square feet. 1 square yard = 9 square feet. Therefore 20,000 divided by 9 = 2,222 sq. yards. 2,222 x $10.00 per yard = $22,220. Closest answer is $22,000."
Real Estate Calculations,"Fred owns an apartment building with 40,000 square feet of living space and wants to carpet 75% of the area. If the carpet costs $7.50 per square yard, the total cost of carpeting was most nearly:","$10,000.00","$25,000.00","$4,000.00","$33,300.00",b,"Correct answer is (b). 40,000 square feet x 75% = 30,000 square feet. 1 square yard = 9 square feet. Therefore, 30,000 divided by 9 = 3,333.33 sq. yards. 3,333.33 x $7.50 per yard = $24,999.98. Closest answer is $25,000."
Real Estate Calculations,"Fred pays $16,240 for a home. If it costs 10% to sell his home before he could sell it at a profit, how much would it have to appreciate?","$2,078.18",100%,34%,"$1,804.44",d,"Correct answer is (d). 100% (sales price) - 10% = 90% or $16,240 purchase price. $16,240 divided by 90% = $18,044.44. $18,044.44 - $16,240 = $1,804.44."
Real Estate Calculations,George is planning to build a warehouse 50 feet wide by 200 feet long. The walls will be 10 feet high and the building will have a flat roof. How many cubic feet of space will George have when the warehouse is completed?,"4,200 cubic feet","8,400 cubic feet","100,000 cubic feet","306,000 cubic feet",c,"Correct answer is (c). Length x width x height = cubic feet. 200 feet x 50 feet x 10 feet = 100,000 cubic feet."
Real Estate Calculations,"Harry sold two parcels of land for $9,430, which was 15% more than their cost four years ago. While Harry owned the parcels, he paid taxes each year at a rate of $8.00 per $100 on an assessed value of 25% of the purchase price. Assuming an annual loss of 5% imputed interest on Harry's original investment as an expense, how much did Harry lose on the transaction?",$650,$885,"$1,066","None of the above, because Harry made money on the transaction",c,"Correct answer is (c). (1) $9,430 divided by 115% = $8,200 original cost;|(2) $8,200 x 25% = $2,050 assessed value;|(3) $2,050 x .08 = $164 annual property taxes;|(4) $164 x 4 = $656 taxes;|(5) $8,200 x 5% x 4 = $1,640 loss of interest;|(6) $8,200 + $656 + $1,640 = $10,496 total cost;|(7) $10,496 - $9,430 = $1,066 loss."
Real Estate Calculations,"How long will it take $6,000 to earn $2,400 at 8% interest?",6 years,5 and a half years,5 years,None of the above,c,"Correct answer is (c). $6,000 x 8% = $480 per year. $2,400 divided by $480 = 5 years."
Real Estate Calculations,"How many acres are in a lot that measures 660 feet x 1,320 feet?",5,10,20,40,c,"Correct answer is (c). 1,320' x 660' = 871,200 sq. ft. divided by 43,560 = 20 acres."
Real Estate Calculations,"How many acres are in a lot that measures 660' x 1,320'?",5,10,20,40,c,"Correct answer is (c). 1,320' x 660' = 871,200 sq. ft. divided by 43,560 = 20 acres."
Real Estate Calculations,"How many acres are in a lot that measures 750' x 1,320'?",15,23,20,40,b,"Correct answer is (b). 1,320' x 750' = 990,000 sq. ft. divided by 43,560 = 23 acres (approximately)."
Real Estate Calculations,How many acres are in one section?,260,360,420,640,d,Correct answer is (d). There are 640 acres in a section.
Real Estate Calculations,How many acres are in the E 1/2 of the NW 1/4 of the SE 1/4 of the NW 1/4 of Section 38?,1-1/4 acres,2-1/2 acres,1/2 acre,None of the above,d,"Correct answer is (d). The correct answer is 5 acres. There is no Section 38. If it did exist, it would be 5 acres."
Real Estate Calculations,How many acres are in the following described area: the NW 1/2 of the NE 1/2 of section 5?,110,120,140,160,d,Correct answer is (d). A section 640 acres. A 1/2 sections contains 320 acres. 1/2 of 1/2 section contains 160 acres.
Real Estate Calculations,How many acres are in the following described area: the NW 1/4 of the NE 1/4 of section 5.,10,20,30,40,d,Correct answer is (d). A section contains 640 acres. A 1/4 section contains 160 acres. 1/4 of 1/4 section contains 40 acres.
Real Estate Calculations,How many acres are in the following described area: the W 1/2 of the N 1/2 of section 5?,110,120,140,160,d,Correct answer is (d). A section contains 640 acres. A 1/2 section contains 320 acres. 1/2 of 1/2 section contains 160 acres.
Real Estate Calculations,How many acres are in the following described area? The NW 1/4 of the NE 1/4 of section 5?,10,20,30,40,d,Correct answer is (d). A section contains 640 acres. A 1/4 section contains 160 acres. 1/4 of 1/4 section contains 40 acres.
Real Estate Calculations,How many acres are in the NW 1/4 of the SE 1/4 of Section 10 and the SE 1/4 of Section 3 and the N 1/2 of the NE 1/4 of Section 16?,280,160,240,320,a,Correct answer is (a). 40 + 160 + 80 = 280 acres.
Real Estate Calculations,How many acres are in the S 1/2 of the SE 1/4 of Section 5 and the N 1/2 of the NW 1/4 of Section 13 and the N 1/2 of the NE 1/4 of Section 32?,80,160,240,320,c,Correct answer is (c). 1/2 of 1/4 of anything is 1/8 (1/2 x 1/4). There are 640 acres in a section. 1/8 x 640 = 80. 80 + 80 + 80 = 240 acres.
Real Estate Calculations,How many acres are in the S 1/4 of the SE 1/4 of Section 10 and the N 1/2 of the NW 1/2 of Section 3 and the N 1/2 of the NE 1/4 of Section 16?,280,160,240,320,a,Correct answer is (a). 40 + 160 + 80 = 280 acres.
Real Estate Calculations,How many acres in one section?,260,360,420,640,d,Correct answer is (d). There are 640 acres in a section.
Real Estate Calculations,"How many board feet of lumber can be obtained from a piece 8"" x 12"" x 12""?",3,6,7,8,d,"Correct answer is (d). 8"" x 12"" x 12"" = 1,152 cubic inches divided by 144 cubic inches = 8 board feet."
Real Estate Calculations,How many linear feet of fencing is required to fence one standard section of land?,"10,560","13,200","20,560","21,120",d,"Correct answer is (d). A standard section is a square, one mile by one mile. It would take 4 miles of fencing to enclose it. 5,280 x 4 = 21,120."
Real Estate Calculations,"How many parcels of land, each measuring 50' by 100', could be created from an acre of land?",1,4,7,8,d,"Correct answer is (d). 50 feet x 100 feet = 5,000 square feet;|43,560 square feet (acre) divided by 5,000 square feet =8.71 parcels."
Real Estate Calculations,"How many square feet are there in a building, rectangular in shape that is 29 feet wide and 69 feet long?","2,001 feet","2,368 square feet","2,001 square feet",none of these,c,"Correct answer is (c). The area of a rectangle is length x width. 69 feet x 29 feet = 2,001 square feet."
Real Estate Calculations,How many square feet of cement would be needed for a 7-foot wide continual sidewalk around the outside edge of a 60 foot by 90 foot corner lot?,"1,050 square feet","1,099 square feet",420 square feet,630 square feet,b,"Correct answer is (b). Note around the outside edge. Don't forget the corner.|90 x 7 = 630;|67 x 7 = 469 + 630 = 1,099 square feet."
Real Estate Calculations,How many square feet of cement would be needed for a 7-foot wide continual sidewalk around the OUTSIDE EDGE of a 60 foot by 90 foot corner lot? Side A is 60' long and Side B is 90' long.,"1,050 square feet","1,099 square feet",420 square feet,630 square feet,b,"Correct answer is (b). Remember,the sidewalk is on the outside edge. Side A: 60' x 7' = 420SF. Side B: 90' x 7' = 630SF. Don't forget the corner which is 7'x7' or 49SF. Add the 3 parts: 420SF + 630SF + 49SF = 1,099 square feet."
Real Estate Calculations,How many square miles does a section contain?,1,6,36,180,a,"Correct answer is (a). A section is 1 mile by 1 mile, 1 mile square, and contains 1 square mile."
Real Estate Calculations,"How many square yards of linoleum would be needed to cover a floor that's 1,700 square feet? Round your answer up to the next full square yard.",134 square yards.,189 square yards.,534 square yards.,none of these.,b,"Correct answer is (b). There are 9 square feet per square yard. Therefore, divide 1,700 square feet by 9 which equals 188.8 or 189."
